:GT2K_LOG,2
:LOGGING_ID,6
:LOGGING_NAME,"Dryer1Fire"
:SERIAL_ID,69
:DEVICE_NUM,8
:RECORD_NUM,3600
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT 00:00
:TIME_INF_ORDER,L
:DEV_COMMENT,"ÑBÑ|ÑpÑwÑ~ÑÄÑÉÑÑÑé ÑÉÑçÑÇÑéÑë","ÑBÑÑÑÄÑÇ ÑtÑÖÑÑÑéÑu","ÑSÑuÑ}ÑÅ. Ñr ÑqÑÄÑÇÑÄÑrÑu","ÑSÑuÑ}ÑÅ. Ñr ÑÑ-ÑsÑuÑ~","ÑQÑpÑxÑÇ. Ñr ÑÑÑÄÑÅÑ{Ñu","ÑYÑyÑqÑuÑÇ 0-100%","ÑPÑÄÑtÑpÑâÑp ÑÑÑÄÑÅÑ|ÑyÑrÑp","ÑPÑÄÑtÑpÑâÑp ÑrÑÄÑxÑtÑÖÑáÑp"
:DEV_TYPE,REAL,REAL,REAL,REAL,REAL,BIN16,REAL,REAL
:DISP_TYPE,REAL_FIX,REAL_FIX,REAL_FIX,REAL_FIX,REAL_FIX,DEC,REAL_FIX,REAL_FIX
:DEV_SIZE,2,2,2,2,2,1,2,2
2020/01/23 22:25:36,  49.90, 24.7, 709, 468, -0.20,  0,   0.00,  45.00
2020/01/23 22:25:46,  49.90, 24.8, 709, 468, -0.20,  0,   0.00,  45.00
2020/01/23 22:25:56,  49.90, 24.6, 709, 468, -0.20,  0,   0.00,  45.00
2020/01/23 22:26:06,  49.90, 24.7, 709, 468, -0.20,  0,   0.00,  45.00
2020/01/23 22:26:16,  49.90, 24.8, 709, 468, -0.20,  0,   0.00,  45.00
2020/01/23 22:26:26,  49.90, 24.7, 709, 467, -0.21,  0,   0.00,  45.00
2020/01/23 22:26:36,  49.90, 24.9, 710, 467, -0.21,  0,   0.00,  45.00
2020/01/23 22:26:46,  49.90, 24.7, 709, 467, -0.21,  0,   0.00,  45.00
2020/01/23 22:26:56,  49.90, 24.7, 710, 467, -0.21,  0,   0.00,  45.00
2020/01/23 22:27:06,  49.90, 24.7, 709, 467, -0.21,  0,   0.00,  45.00
2020/01/23 22:27:16,  49.90, 24.7, 709, 467, -0.21,  0,   0.00,  45.00
2020/01/23 22:27:26,  49.90, 24.6, 709, 467, -0.21,  0,   2.60,  45.00
2020/01/23 22:27:36,  49.90, 24.6, 709, 467, -0.18,  0,   2.60,  45.00
2020/01/23 22:27:46,  49.90, 24.8, 709, 467, -0.17,  0,   2.60,  45.00
2020/01/23 22:27:56,  49.90, 24.6, 709, 467, -0.16,  0,   2.60,  45.00
2020/01/23 22:28:06,  49.90, 24.5, 709, 467, -0.16,  0,   2.60,  45.00
2020/01/23 22:28:16,  49.90, 24.6, 708, 467, -0.17,  0,   2.60,  45.00
2020/01/23 22:28:26,  49.90, 24.6, 708, 467, -0.17,  0,   2.60,  45.00
2020/01/23 22:28:36,  49.90, 24.5, 708, 467, -0.16,  0,   2.60,  45.00
2020/01/23 22:28:46,  49.90, 24.6, 708, 467, -0.16,  0,   2.60,  45.00
2020/01/23 22:28:56,  49.90, 24.5, 708, 467, -0.16,  0,   2.60,  45.00
2020/01/23 22:29:06,  49.90, 24.5, 707, 467, -0.16,  0,   2.60,  45.00
2020/01/23 22:29:16,  49.90, 24.6, 707, 467, -0.16,  0,   2.60,  45.00
2020/01/23 22:29:26,  49.90, 24.6, 707, 467, -0.16,  0,   2.60,  45.00
2020/01/23 22:29:36,  49.90, 24.6, 707, 467, -0.16,  0,   2.60,  45.00
2020/01/23 22:29:46,  49.90, 24.6, 707, 467, -0.15,  0,   2.60,  45.00
2020/01/23 22:29:56,  49.90, 24.7, 707, 467, -0.16,  0,   2.60,  45.00
2020/01/23 22:30:06,  49.90, 24.5, 707, 467, -0.15,  0,   2.60,  45.00
2020/01/23 22:30:16,  49.90, 24.7, 707, 467, -0.17,  0,   0.00,  45.00
2020/01/23 22:30:26,  49.90, 24.5, 707, 467, -0.18,  0,   0.00,  45.00
2020/01/23 22:30:36,  49.90, 24.5, 707, 467, -0.18,  0,   0.00,  45.00
2020/01/23 22:30:46,  49.90, 24.5, 707, 467, -0.19,  0,   0.00,  45.00
2020/01/23 22:30:56,  49.90, 24.6, 707, 467, -0.19,  0,   0.00,  45.00
2020/01/23 22:31:06,  49.90, 24.6, 708, 467, -0.20,  0,   0.00,  45.00
2020/01/23 22:31:16,  49.90, 24.6, 708, 467, -0.20,  0,   0.00,  45.00
2020/01/23 22:31:26,  49.90, 24.7, 708, 467, -0.20,  0,   0.00,  45.00
2020/01/23 22:31:36,  49.90, 24.6, 708, 467, -0.20,  0,   0.00,  45.00
2020/01/23 22:31:46,  49.90, 24.6, 708, 467, -0.20,  0,   0.00,  45.00
2020/01/23 22:31:56,  49.90, 24.5, 708, 467, -0.20,  0,   0.00,  45.00
2020/01/23 22:32:06,  49.90, 24.5, 708, 467, -0.20,  0,   0.00,  45.00
2020/01/23 22:32:16,  49.90, 24.6, 708, 467, -0.21,  0,   0.00,  45.00
2020/01/23 22:32:26,  49.90, 24.5, 708, 467, -0.21,  0,   2.60,  45.00
2020/01/23 22:32:36,  49.90, 24.6, 708, 467, -0.18,  0,   2.60,  45.00
2020/01/23 22:32:46,  49.90, 24.7, 708, 467, -0.17,  0,   2.60,  45.00
2020/01/23 22:32:56,  49.90, 24.4, 708, 467, -0.16,  0,   2.60,  45.00
2020/01/23 22:33:06,  49.90, 24.3, 708, 467, -0.17,  0,   2.60,  45.00
2020/01/23 22:33:16,  49.90, 24.4, 707, 467, -0.16,  0,   2.60,  45.00
2020/01/23 22:33:26,  49.90, 24.4, 707, 467, -0.16,  0,   2.60,  45.00
2020/01/23 22:33:36,  49.90, 24.4, 707, 467, -0.16,  0,   2.60,  45.00
2020/01/23 22:33:46,  49.90, 24.5, 707, 467, -0.16,  0,   2.60,  45.00
2020/01/23 22:33:56,  49.90, 24.6, 707, 467, -0.16,  0,   2.60,  45.00
2020/01/23 22:34:06,  49.90, 24.5, 707, 467, -0.16,  0,   2.60,  45.00
2020/01/23 22:34:16,  49.90, 24.5, 707, 467, -0.16,  0,   2.60,  45.00
2020/01/23 22:34:26,  49.90, 24.5, 707, 467, -0.15,  0,   2.60,  45.00
2020/01/23 22:34:36,  49.90, 24.5, 707, 467, -0.15,  0,   2.60,  45.00
2020/01/23 22:34:46,  49.90, 24.4, 707, 467, -0.15,  0,   2.60,  45.00
2020/01/23 22:34:56,  49.90, 24.3, 707, 467, -0.15,  0,   2.60,  45.00
2020/01/23 22:35:06,  49.90, 24.6, 707, 467, -0.15,  0,   2.60,  45.00
2020/01/23 22:35:16,  49.90, 24.4, 707, 467, -0.15,  0,   0.00,  45.00
2020/01/23 22:35:26,  49.90, 24.5, 707, 467, -0.18,  0,   0.00,  45.00
2020/01/23 22:35:36,  49.90, 24.6, 707, 467, -0.18,  0,   0.00,  45.00
2020/01/23 22:35:46,  49.90, 24.6, 707, 467, -0.18,  0,   0.00,  45.00
2020/01/23 22:35:56,  49.90, 24.6, 707, 467, -0.19,  0,   0.00,  45.00
2020/01/23 22:36:06,  49.90, 24.4, 707, 467, -0.20,  0,   0.00,  45.00
2020/01/23 22:36:16,  49.90, 24.7, 707, 467, -0.19,  0,   0.00,  45.00
2020/01/23 22:36:26,  49.90, 24.5, 707, 467, -0.20,  0,   0.00,  45.00
2020/01/23 22:36:36,  49.90, 24.5, 708, 467, -0.20,  0,   0.00,  45.00
2020/01/23 22:36:46,  49.90, 24.5, 708, 467, -0.20,  0,   0.00,  45.00
2020/01/23 22:36:56,  49.90, 24.4, 708, 467, -0.20,  0,   0.00,  45.00
2020/01/23 22:37:06,  49.90, 24.5, 708, 467, -0.20,  0,   0.00,  45.00
2020/01/23 22:37:16,  49.90, 24.3, 708, 467, -0.21,  0,   0.00,  45.00
2020/01/23 22:37:26,  49.90, 24.5, 708, 467, -0.21,  0,   0.00,  45.00
2020/01/23 22:37:36,  49.90, 24.5, 708, 467, -0.21,  0,   0.00,  45.00
2020/01/23 22:37:46,  49.90, 24.7, 708, 467, -0.20,  0,   0.00,  45.00
2020/01/23 22:37:56,  49.90, 24.5, 708, 467, -0.21,  0,   0.00,  45.00
2020/01/23 22:38:06,  49.90, 24.6, 708, 467, -0.21,  0,   0.00,  45.00
2020/01/23 22:38:16,  49.90, 24.5, 708, 467, -0.21,  0,   0.00,  45.00
2020/01/23 22:38:26,  49.90, 24.7, 708, 467, -0.21,  0,   2.60,  45.00
2020/01/23 22:38:36,  49.90, 24.5, 707, 467, -0.18,  0,   2.60,  45.00
2020/01/23 22:38:46,  49.90, 24.4, 707, 467, -0.17,  0,   2.60,  45.00
2020/01/23 22:38:56,  49.90, 24.6, 707, 467, -0.16,  0,   2.60,  45.00
2020/01/23 22:39:06,  49.90, 24.5, 707, 467, -0.16,  0,   2.60,  45.00
2020/01/23 22:39:16,  49.90, 24.7, 707, 467, -0.16,  0,   2.60,  45.00
2020/01/23 22:39:26,  49.90, 24.7, 706, 467, -0.16,  0,   2.60,  45.00
2020/01/23 22:39:36,  49.90, 24.7, 706, 467, -0.15,  0,   2.60,  45.00
2020/01/23 22:39:46,  49.90, 24.7, 706, 467, -0.15,  0,   2.60,  45.00
2020/01/23 22:39:56,  49.90, 24.8, 706, 467, -0.15,  0,   2.60,  45.00
2020/01/23 22:40:06,  49.90, 24.7, 706, 467, -0.16,  0,   2.60,  45.00
2020/01/23 22:40:16,  49.90, 24.7, 706, 467, -0.15,  0,   2.60,  45.00
